Sample,Class
Sample_1,Positive
Sample_2,Positive
Sample_3,Positive
Sample_4,Positive
Sample_5,Negative
Sample_6,Positive
Sample_7,Negative
Sample_8,Negative
Sample_9,Positive
Sample_10,Negative
Sample_11,Positive
Sample_12,Negative
Sample_13,Negative
Sample_14,Positive
Sample_15,Negative
Sample_16,Positive
Sample_17,Positive
Sample_18,Negative
Sample_19,Negative
Sample_20,Negative
Sample_21,Negative
Sample_22,Negative
Sample_23,Negative
Sample_24,Negative
Sample_25,Positive
Sample_26,Positive
Sample_27,Negative
Sample_28,Positive
Sample_29,Positive
Sample_30,Negative
Sample_31,Positive
Sample_32,Negative
Sample_33,Negative
Sample_34,Positive
Sample_35,Negative
Sample_36,Negative
Sample_37,Positive
Sample_38,Negative
Sample_39,Positive
Sample_40,Positive
Sample_41,Negative
Sample_42,Negative
Sample_43,Negative
Sample_44,Negative
Sample_45,Negative
Sample_46,Positive
Sample_47,Negative
Sample_48,Negative
Sample_49,Positive
Sample_50,Negative
